asin,product_name,category,category_encoded,marketplace_region,region_encoded,price,cost,sourcing_cost,monthly_sales,monthly_revenue,monthly_profit,margin_pct,rating,num_reviews,competition,listing_score,fulfillment_type,is_winner,is_profitable,product_url,image_url
B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync...,Consumer Electronics,0,IN,0,154.0,42.65,42.65,267,41118.0,5441.46,13.2,4.3,13391,4,8,Amazon FBA,0,0,https://www.amazon.in/Portronics-POR-1081-Charging-1-2Meter-Function/dp/B08CF3D7QR/ref=sr_1_12?qid=1672909124&s=electronics&sr=1-12,https://m.media-amazon.com/images/I/31dJ+lXJq3L._SY300_SX300_.jpg
B0789LZTCJ,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),Consumer Electronics,0,US,1,4.99,1.36,1.36,540,2694.6,545.4,20.2,4.2,94363,1,8,Amazon FBA,1,1,https://www.amazon.in/Rugged-Extra-Tough-Unbreakable-Braided/dp/B0789LZTCJ/ref=sr_1_13?qid=1672909124&s=electronics&sr=1-13,https://m.media-amazon.com/images/I/41SDfuK7L2L._SX300_SY300_QL70_FMwebp_.jpg
B07KSMBL2H,AmazonBasics Flexible Premium HDMI Cable (Black; 4K@60Hz; 18Gbps); 3-Foot,Consumer Electronics,0,EU,2,4.99,1.09,1.09,1756,8762.44,1141.4,13.0,4.4,426973,3,8,Amazon FBA,0,0,https://www.amazon.in/AmazonBasics-Flexible-HDMI-Cable-3-Foot/dp/B07KSMBL2H/ref=sr_1_14?qid=1672909124&s=electronics&sr=1-14,https://m.media-amazon.com/images/I/41nPYaWA+ML._SY300_SX300_.jpg
B085DTN6R2,Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery &...,Consumer Electronics,0,UK,3,4.5,1.05,1.05,92,414.0,30.36,7.3,4.2,2262,1,9,Amazon FBA,0,0,https://www.amazon.in/Portronics-Konnect-Delivery-Support-Braided/dp/B085DTN6R2/ref=sr_1_15?qid=1672909124&s=electronics&sr=1-15,https://m.media-amazon.com/images/I/31J6qGhAL9L._SX300_SY300_QL70_FMwebp_.jpg
B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync ...,Consumer Electronics,0,UAE,4,18.0,4.63,4.63,91,1638.0,288.47,17.6,4.1,4768,4,8,Amazon FBA,0,0,https://www.amazon.in/Portronics-Konnect-POR-1401-Charging-Function/dp/B09KLVMZ3B/ref=sr_1_16?qid=1672909124&s=electronics&sr=1-16,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41R08zLK69L._SX300_SY300_QL70_FMwebp_.jpg
B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),Consumer Electronics,0,IN,0,349.0,123.16,123.16,217,75733.0,1909.6,2.5,4.4,18757,3,8,Amazon FBA,0,0,https://www.amazon.in/Mi-Braided-USB-Type-C-Cable/dp/B083342NKJ/ref=sr_1_17?qid=1672909124&s=electronics&sr=1-17,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31gaP7qpBNL._SX300_SY300_QL70_FMwebp_.jpg
B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),Consumer Electronics,0,US,1,168.66,61.78,61.78,325,54814.5,14790.75,27.0,4.2,32840,1,8,Amazon FBA,1,1,https://www.amazon.in/MI-inches-Ready-Android-L32M7-5AIN/dp/B0B6F7LX4C/ref=sr_1_18?qid=1672909124&s=electronics&sr=1-18,https://m.media-amazon.com/images/I/51fmHk3km+L._SX300_SY300_.jpg
B082LSVT4B,Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smar...,Consumer Electronics,0,EU,2,4.99,1.06,1.06,421,2100.79,244.18,11.6,4.0,43994,4,8,Amazon FBA,0,0,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B082LSVT4B/ref=sr_1_19?qid=1672909124&s=electronics&sr=1-19,https://m.media-amazon.com/images/I/41d84o5-M-L._SY445_SX342_QL70_FMwebp_.jpg
B08WRBG3XW,boAt Type C A325 Tangle-free; Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data...,Consumer Electronics,0,UK,3,4.5,0.86,0.86,233,1048.5,97.86,9.3,4.1,13045,3,8,Amazon FBA,0,0,https://www.amazon.in/boAt-A325-Tangle-Free-Charging-Transmission/dp/B08WRBG3XW/ref=sr_1_20?qid=1672909124&s=electronics&sr=1-20,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41xwPQLxTML._SX300_SY300_QL70_FMwebp_.jpg
B08DPLCM6T,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Consumer Electronics,0,UAE,4,596.9,196.61,196.61,200,119380.0,46454.0,38.9,4.3,11976,1,8,Amazon FBA,1,1,https://www.amazon.in/LG-inches-Ready-Smart-32LM563BPTC/dp/B08DPLCM6T/ref=sr_1_21?qid=1672909124&s=electronics&sr=1-21,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51v-2Nzr+ML._SY300_SX300_.jpg
B09C6HXFC1,Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone; Ip...,Consumer Electronics,0,IN,0,970.0,274.65,274.65,45,43650.0,10663.2,24.4,4.5,815,3,9,Amazon FBA,0,0,https://www.amazon.in/DURACELL-Lightning-Certified-braided-Devices/dp/B09C6HXFC1/ref=sr_1_22?qid=1672909124&s=electronics&sr=1-22,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41TZJiPRRwL._SX300_SY300_QL70_FMwebp_.jpg
B085194JFL,tizum HDMI to VGA Adapter Cable 1080P for Projector; Computer; Laptop; TV; Projectors & TV,Consumer Electronics,0,US,1,4.99,1.02,1.02,191,953.09,246.39,25.9,3.7,10962,2,7,Amazon FBA,1,1,https://www.amazon.in/Adapter-Projector-Computer-Laptop-Projectors/dp/B085194JFL/ref=sr_1_23?qid=1672909124&s=electronics&sr=1-23,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31MIyzg8uzL._SX300_SY300_QL70_FMwebp_.jpg
B09F6S8BT6,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (G...,Consumer Electronics,0,EU,2,149.89,46.31,46.31,296,44367.44,10428.08,23.5,4.3,16299,4,9,Amazon FBA,1,1,https://www.amazon.in/Samsung-Inches-Wondertainment-UA32T4340BKXXL-Glossy/dp/B09F6S8BT6/ref=sr_1_24?qid=1672909124&s=electronics&sr=1-24,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51q3+E64azL._SX300_SY300_.jpg
B09NHVCHS9,Flix Micro Usb Cable For Smartphone (Black),Consumer Electronics,0,UK,3,4.5,1.2,1.2,143,643.5,10.01,1.6,4.0,9378,4,8,Amazon FBA,0,0,https://www.amazon.in/Flix-Micro-Cable-Smartphone-Black/dp/B09NHVCHS9/ref=sr_1_25?qid=1672909125&s=electronics&sr=1-25,https://m.media-amazon.com/images/I/31qGpf8uzuL._SY445_SX342_QL70_FMwebp_.jpg
B0B1YVCJ2Y,Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),Consumer Electronics,0,UAE,4,508.81,183.55,183.55,113,57495.53,19031.46,33.1,4.3,4703,2,8,Amazon FBA,1,1,https://www.amazon.in/Acer-inches-Ready-Android-AR32AR2841HDFL/dp/B0B1YVCJ2Y/ref=sr_1_26?qid=1672909125&s=electronics&sr=1-26,https://m.media-amazon.com/images/I/41gikeSuhAL._SY300_SX300_QL70_FMwebp_.jpg
B01M4GGIVU,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Lapto...,Consumer Electronics,0,IN,0,199.0,44.32,44.32,239,47561.0,11584.33,24.4,4.2,12153,1,8,Amazon FBA,1,1,https://www.amazon.in/TIZUM-Slim-1-5m-HDMI-Cable/dp/B01M4GGIVU/ref=sr_1_27?qid=1672909125&s=electronics&sr=1-27,https://m.media-amazon.com/images/I/41da4tk7N+L._SY300_SX300_.jpg
B08B42LWKN,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),Consumer Electronics,0,US,1,180.71,58.14,58.14,299,54032.29,18403.45,34.1,4.2,34899,2,9,Amazon FBA,1,1,https://www.amazon.in/OnePlus-inches-Ready-Android-32Y1/dp/B08B42LWKN/ref=sr_1_29?qid=1672909125&s=electronics&sr=1-29,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41WE9ZGEC4L._SX300_SY300_QL70_FMwebp_.jpg
B094JNXNPV,Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2....,Consumer Electronics,0,EU,2,4.99,1.06,1.06,94,469.06,59.22,12.6,4.0,2766,3,8,Amazon FBA,0,0,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Multipurpose/dp/B094JNXNPV/ref=sr_1_31?qid=1672909125&s=electronics&sr=1-31,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41GeM83DzzL._SX300_SY300_QL70_FMwebp_.jpg
B09W5XR9RT,Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphon...,Consumer Electronics,0,UK,3,9.24,2.55,2.55,21,194.04,41.79,21.5,4.4,184,2,8,Amazon FBA,0,0,https://www.amazon.in/Duracell-Lightning-Certified-Braided-Charging/dp/B09W5XR9RT/ref=sr_1_32?qid=1672909125&s=electronics&sr=1-32,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/4177nw8okbL._SX300_SY300_QL70_FMwebp_.jpg
B077Z65HSD,boAt A400 USB Type-C to USB-A 2.0 Male Data Cable; 2 Meter (Black),Consumer Electronics,0,UAE,4,18.0,3.31,3.31,282,5076.0,1181.58,23.3,4.3,20850,1,8,Amazon FBA,1,1,https://www.amazon.in/A400-Type-C-Cable-Meter-Black/dp/B077Z65HSD/ref=sr_1_33?qid=1672909125&s=electronics&sr=1-33,https://m.media-amazon.com/images/I/41jk4zYjTsL._SX300_SY300_QL70_FMwebp_.jpg
B00NH11PEY,AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer; Printe...,Consumer Electronics,0,IN,0,199.0,53.89,53.89,495,98505.0,21532.5,21.9,4.5,74976,3,9,Amazon FBA,1,1,https://www.amazon.in/AmazonBasics-Extension-Cable-Male-Female/dp/B00NH11PEY/ref=sr_1_34?qid=1672909125&s=electronics&sr=1-34,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41Fqm0bR7PL._SX300_SY300_QL70_FMwebp_.jpg
B09CMM3VGK,Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable; PD Techn...,Consumer Electronics,0,US,1,4.99,1.02,1.02,79,394.21,97.96,24.8,4.0,1934,2,8,Amazon FBA,0,0,https://www.amazon.in/Ambrane-Charging-Unbreakable-Braided-Connector/dp/B09CMM3VGK/ref=sr_1_35?qid=1672909125&s=electronics&sr=1-35,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41cCZ5EPnvL._SX300_SY300_QL70_FMwebp_.jpg
B08QSC1XY8,Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charg...,Consumer Electronics,0,EU,2,4.99,1.08,1.08,55,274.45,31.9,11.6,4.3,974,3,8,Amazon FBA,0,0,https://www.amazon.in/Charging-Braided-Charger-Samsung-Galaxy/dp/B08QSC1XY8/ref=sr_1_36?qid=1672909125&s=electronics&sr=1-36,https://m.media-amazon.com/images/I/419QKVTxaSL._SX300_SY300_QL70_FMwebp_.jpg
B008FWZGSG,Samsung Original Type C to C Cable - 3.28 Feet (1 Meter); White,Consumer Electronics,0,UK,3,5.7,1.5,1.5,25,142.5,16.25,11.4,4.3,355,1,8,Amazon FBA,0,0,https://www.amazon.in/Samsung-Original-Type-Cable-Meter/dp/B008FWZGSG/ref=sr_1_37?qid=1672909125&s=electronics&sr=1-37,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/11ICusapw3L._SY300_SX300_QL70_FMwebp_.jpg
B0B4HJNPV4,pTron Solero T351 3.5Amps Fast Charging Type-C to Type-C PD Data & Charging USB Cable; ...,Consumer Electronics,0,UAE,4,18.0,4.46,4.46,50,900.0,173.5,19.3,3.9,1075,2,8,Amazon FBA,0,0,https://www.amazon.in/pTron-3-5Amps-Charging-480Mbps-Smartphones/dp/B0B4HJNPV4/ref=sr_1_38?qid=1672909125&s=electronics&sr=1-38,https://m.media-amazon.com/images/I/41wN7jooz0L._SX300_SY300_QL70_FMwebp_.jpg
B08Y1SJVV5,pTron Solero MB301 3A Micro USB Data & Charging Cable; Made in India; 480Mbps Data Sync...,Consumer Electronics,0,IN,0,149.0,29.42,29.42,266,39634.0,8182.16,20.6,3.9,24871,4,7,Amazon FBA,1,1,https://www.amazon.in/Solero-MB301-Charging-480Mbps-1-5-Meter/dp/B08Y1SJVV5/ref=sr_1_39?qid=1672909125&s=electronics&sr=1-39,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31ew3okQR2L._SX300_SY300_QL70_FMwebp_.jpg
B07XLCFSSN,Amazonbasics Nylon Braided Usb-C To Lightning Cable; Fast Charging Mfi Certified Smartp...,Consumer Electronics,0,US,1,10.83,3.4,3.4,273,2956.59,-308.49,-10.4,4.4,13552,4,8,Amazon FBA,0,0,https://www.amazon.in/AmazonBasics-Apple-Certified-Lightning-Charging/dp/B07XLCFSSN/ref=sr_1_40?qid=1672909125&s=electronics&sr=1-40,https://m.media-amazon.com/images/I/3183iGEWksL._SX300_SY300_QL70_FMwebp_.jpg
B09RZS1NQT,Sounce 65W OnePlus Dash Warp Charge Cable; 6.5A Type-C to USB C PD Data Sync Fast Charg...,Consumer Electronics,0,EU,2,4.99,1.23,1.23,37,184.63,14.8,8.0,4.0,576,3,7,Amazon FBA,0,0,https://www.amazon.in/Sounce-Type-C-Compatible-Smartphone-Charging/dp/B09RZS1NQT/ref=sr_1_41?qid=1672909125&s=electronics&sr=1-41,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41P2EdQI1ZL._SY445_SX342_QL70_FMwebp_.jpg
B0B3MMYHYW,OnePlus 126 cm (50 inches) Y Series 4K Ultra HD Smart Android LED TV 50Y1S Pro (Black),Consumer Electronics,0,UK,3,314.28,90.92,90.92,184,57827.52,12672.08,21.9,4.2,7298,3,8,Amazon FBA,1,1,https://www.amazon.in/OnePlus-50-inches-Android-Pro/dp/B0B3MMYHYW/ref=sr_1_42?qid=1672909125&s=electronics&sr=1-42,https://m.media-amazon.com/images/I/51hQfTroMzL._SX300_SY300_QL70_FMwebp_.jpg
B09C6HWG18,Duracell Type C To Type C 5A (100W) Braided Sync & Fast Charging Cable; 3.9 Feet (1.2M)...,Consumer Electronics,0,UAE,4,42.92,13.52,13.52,40,1716.8,115.2,6.7,4.2,462,4,9,Amazon FBA,0,0,https://www.amazon.in/DURACELL-Type-C-braided-Charge-Cable/dp/B09C6HWG18/ref=sr_1_43?qid=1672909125&s=electronics&sr=1-43,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41v5BQZzfAL._SX300_SY300_QL70_FMwebp_.jpg
B00NH11KIK,AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer; Printer- 6 Feet ...,Consumer Electronics,0,IN,0,209.0,51.04,51.04,610,127490.0,33281.6,26.1,4.5,107687,4,9,Amazon FBA,1,1,https://www.amazon.in/AmazonBasics-USB-2-0-Cable-Male/dp/B00NH11KIK/ref=sr_1_44?qid=1672909125&s=electronics&sr=1-44,https://m.media-amazon.com/images/I/4101vlzySzL._SY300_SX300_QL70_FMwebp_.jpg
B09JPC82QC,Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black),Consumer Electronics,0,US,1,240.95,67.69,67.69,351,84573.45,33492.42,39.6,4.3,27151,1,8,Amazon FBA,1,1,https://www.amazon.in/inches-Full-Android-L43M6-INC-Black/dp/B09JPC82QC/ref=sr_1_45?qid=1672909125&s=electronics&sr=1-45,https://m.media-amazon.com/images/I/41nsy8kxWUL._SY300_SX300_QL70_FMwebp_.jpg
B07JW1Y6XV,Wayona Nylon Braided 3A Lightning to USB A Syncing and Fast Charging Data Cable for iPh...,Consumer Electronics,0,EU,2,4.99,1.17,1.17,321,1601.79,154.08,9.6,4.2,24269,2,8,Amazon FBA,0,0,https://www.amazon.in/Wayona-Braided-WN3LB1-Syncing-Charging/dp/B07JW1Y6XV/ref=sr_1_46?qid=1672909125&s=electronics&sr=1-46,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41rB0DnVFmL._SX300_SY300_QL70_FMwebp_.jpg
B07KRCW6LZ,TP-Link Nano AC600 USB Wi-Fi Adapter(Archer T2U Nano)- 2.4G/5G Dual Band Wireless Netwo...,Consumer Electronics,0,UK,3,9.51,1.94,1.94,233,2215.83,643.08,29.0,4.3,12093,3,9,Amazon FBA,1,1,https://www.amazon.in/TP-Link-Archer-T2U-Nano-Wireless/dp/B07KRCW6LZ/ref=sr_1_47?qid=1672909125&s=electronics&sr=1-47,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31EHCPHbSlL._SX300_SY300_QL70_FMwebp_.jpg
B09NJN8L25,FLiX (Beetel USB to Micro USB PVC Data Sync & 2A Fast Charging Cable; Made in India; 48...,Consumer Electronics,0,UAE,4,18.0,4.42,4.42,136,2448.0,422.96,17.3,4.0,9378,3,7,Amazon FBA,1,1,https://www.amazon.in/FLiX-Charging-480Mbps-Devices-XCD-M11/dp/B09NJN8L25/ref=sr_1_48?qid=1672909125&s=electronics&sr=1-48,https://m.media-amazon.com/images/I/31v7NnnAItL._SY445_SX342_QL70_FMwebp_.jpg
B07XJYYH7L,Wecool Nylon Braided Multifunction Fast Charging Cable For Android Smartphone; Ios And ...,Consumer Electronics,0,IN,0,333.0,101.36,101.36,135,44955.0,2292.3,5.1,3.3,9792,4,7,Amazon FBA,0,0,https://www.amazon.in/WeCool-Braided-Multifunction-Charging-Android/dp/B07XJYYH7L/ref=sr_1_49?qid=1672909126&s=electronics&sr=1-49,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41CnR1WhD3L._SX300_SY300_QL70_FMwebp_.jpg
B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),Consumer Electronics,0,US,1,6.11,1.59,1.59,166,1014.26,262.28,25.9,4.1,8131,3,7,Amazon FBA,1,1,https://www.amazon.in/D-Link-DWA-131-Wireless-Adapter-Black/dp/B002PD61Y4/ref=sr_1_50?qid=1672909126&s=electronics&sr=1-50,https://m.media-amazon.com/images/I/31+NwZ8gb1L._SX300_SY300_.jpg
B014I8SSD0,Amazon Basics High-Speed HDMI Cable; 6 Feet - Supports Ethernet; 3D; 4K video;Black,Consumer Electronics,0,EU,2,4.99,1.26,1.26,1174,5858.26,551.78,9.4,4.4,426973,3,8,Amazon FBA,0,0,https://www.amazon.in/AmazonBasics-High-Speed-HDMI-Cable-Feet/dp/B014I8SSD0/ref=sr_1_51?qid=1672909126&s=electronics&sr=1-51,https://m.media-amazon.com/images/I/41bCxnHksnL._SY300_SX300_QL70_FMwebp_.jpg
B09L8DSSFH,7SEVEN® Compatible for Samsung Smart 4K Ultra HD TV Monitor Remote Control Replacement ...,Consumer Electronics,0,UK,3,4.5,1.23,1.23,36,162.0,0.36,0.2,3.6,493,3,6,Amazon FBA,0,0,https://www.amazon.in/7SEVENTM-Compatible-Replacement-Original-BN59-01259E/dp/B09L8DSSFH/ref=sr_1_52?qid=1672909126&s=electronics&sr=1-52,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/21rBnbHkW9L._SX300_SY300_QL70_FMwebp_.jpg
B07232M876,Amazonbasics Micro Usb Fast Charging Cable For Android Smartphone;Personal Computer;Pri...,Consumer Electronics,0,UAE,4,18.0,4.91,4.91,764,13752.0,2078.08,15.1,4.2,92595,5,9,Amazon FBA,1,1,https://www.amazon.in/AmazonBasics-Micro-Charging-Android-Phones/dp/B07232M876/ref=sr_1_53?qid=1672909126&s=electronics&sr=1-53,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31nrDWDT8+L._SX300_SY300_.jpg
B07P681N66,TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GH...,Consumer Electronics,0,IN,0,1199.0,371.02,371.02,370,443630.0,110126.8,24.8,4.4,24780,2,8,Amazon FBA,1,1,https://www.amazon.in/TP-Link-Wireless-Adapter-Archer-T2U/dp/B07P681N66/ref=sr_1_54?qid=1672909126&s=electronics&sr=1-54,https://m.media-amazon.com/images/I/216Q4FqmZVL._SX300_SY300_QL70_FMwebp_.jpg
B0711PVX6Z,AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plated Connecto...,Consumer Electronics,0,US,1,4.99,1.18,1.18,683,3408.17,696.66,20.4,4.2,92595,3,8,Amazon FBA,1,1,https://www.amazon.in/AmazonBasics-Micro-Charging-Android-Phones/dp/B0711PVX6Z/ref=sr_1_55?qid=1672909126&s=electronics&sr=1-55,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31iESA2h2gL._SY300_SX300_QL70_FMwebp_.jpg
B082T6V3DT,AmazonBasics New Release Nylon USB-A to Lightning Cable Cord; Fast Charging MFi Certifi...,Consumer Electronics,0,EU,2,8.88,2.14,2.14,139,1234.32,275.22,22.3,4.3,8188,3,9,Amazon FBA,1,1,https://www.amazon.in/AmazonBasics-Nylon-Braided-Lightning-Cable/dp/B082T6V3DT/ref=sr_1_57?qid=1672909126&s=electronics&sr=1-57,https://m.media-amazon.com/images/I/31kw1RgU5yL._SX300_SY300_QL70_FMwebp_.jpg
B07MKFNHKG,VW 80 cm (32 inches) Frameless Series HD Ready LED TV VW32A (Black),Consumer Electronics,0,UK,3,66.66,23.6,23.6,121,8065.86,960.74,11.9,4.2,4003,3,8,Amazon FBA,0,0,https://www.amazon.in/Visio-World-inches-VW32A-Ready/dp/B07MKFNHKG/ref=sr_1_58?qid=1672909126&s=electronics&sr=1-58,https://m.media-amazon.com/images/I/418GxB04szL._SY300_SX300_QL70_FMwebp_.jpg
